420118  1  22000
420111  1  15500
420102  2  16000
420106  1  23000
420118  1  19500
420103  1  34000
420102  2  21000
420112  1  13500
420114  2  188
420106  3  31000
420118  2  21000
420103  1  28350
420119  1  45000
420116  1  10300
420115  3  27500
420107  1  22500
420114  1  10000
420117  1  8400
420119  2  18000
420111  1  26600
420115  1  15720
420102  1  36000
420114  3  21000
420105  2  18000
420113  1  8800
420106  2  28000
420118  1  30000
420103  1  31000
420119  1  15200
420104  1  26000
420115  1  13000
420107  1  28000
420112  3  483
420117  1  5700
420113  1  6448
420106  1  38000
420118  1  26300
420103  1  15200
420116  1  13000
420115  1  11300
420107  1  19055
420102  2  16500
420105  1  24000
420118  1  24000
420103  1  31000
420111  1  23000
420116  1  11000
420104  1  26500
420115  3  28000
420107  1  21000
420112  1  16000
420114  1  8600
420105  1  18741
420103  1  28000
420111  1  14000
420116  1  11370
420107  1  13000
420102  2  14000
420113  1  7000
420103  1  28999
420104  1  24700
420115  3  28800
420107  1  12000
420102  2  19000
420112  1  10800
420103  2  29000
420119  2  14000
420116  3  760
420104  1  39000
420107  2  14500
420112  2  15600
420114  3  20000
420117  1  8400
420105  1  19000
420118  3  35000
420103  2  24000
420116  1  9000
420104  1  16500
420115  1  10300
420107  2  12600
420102  1  20000
420114  3  26000
420117  1  6500
420113  1  7700
420106  2  33000
420119  1  12000
420107  2  13000
420112  1  12500
420114  1  20000
420106  2  25000
420119  1  13500
420116  1  10800
420104  1  21000
420107  1  25540
420102  1  17500
420112  1  13420
420105  2  19000
420113  1  9600
420119  2  7800
420115  3  22000
420114  1  8300
420117  1  5500
420118  3  25000
420119  3  28000
420116  1  11370
420114  3  300
420117  1  8300
420105  1  14000
420118  2  16000
420103  1  38000
420119  1  12000
420105  3  790
420106  1  32500
420103  2  66
420104  1  23000
420115  1  11500
420112  3  16500
420105  2  13500
420118  2  20000
420119  2  17000
420116  3  36363
420114  3  20000
420117  2  8500
420111  1  13525
420116  3  15000
420112  1  7000
420105  2  14700
420103  1  32000
420119  3  245
420117  2  8000
420114  1  9070
420118  2  24200
420103  1  22541
420118  3  14000
420102  1  20000
420112  2  12500
420105  1  15974
420115  3  26000
420112  2  17000
420116  1  9000
420112  2  13000
420116  2  9000
420118  2  14000
420102  1  18000
420112  2  16500
420116  3  9300
420118  1  25550
420102  2  40000
420112  1  15000
420114  1  8400
420116  2  6500
420118  1  38000
420102  1  42000
420114  3  25000
420105  2  15000
420116  3  13500
420112  1  16670
420114  3  12000
420105  1  14457
420114  1  8500
420105  1  38000
420105  1  16000
420115  1  10500
420118  1  25500
420105  4  15000
420116  1  10317
420112  1  14800
420115  1  13500
420116  1  9000
420118  1  16600
420112  1  16800
420115  2  16000
420118  2  18000
420112  1  18500
420105  3  36000
420115  1  8500
420116  1  11000
420105  1  29000
420105  2  18000
420116  1  8000
420105  2  14175
420116  3  20000
420116  3  12900
420116  1  10500
420116  2  6000
420119  1  10000
420119  1  24000
420111  1  22000
420111  1  50000
420111  1  27000
420111  2  13000
420111  2  26000
420111  1  25500
420111  1  14700
420111  2  16000
420111  1  16500
420119  1  120
420115  1  9500
420111  3  31000
420102  2  19000
420116  1  12500
420116  1  12500
420104  1  16000
420118  1  25000
420111  1  14070
420112  1  14700
420105  1  14420
420106  1  32000
420119  1  12500
420104  2  15000
420115  1  14980
420115  1  12000
420113  1  6800
420116  2  8900
420105  2  16000
420119  1  12500
420116  3  18500
420102  1  23000
420111  1  13500
420103  1  33000
420112  1  14500
420114  1  11000
420102  2  34000
420102  2  20000
420102  1  17100
420119  3  15700
420105  1  15500
420116  1  11000
420116  1  10800
420106  1  29800
420119  2  9000
420104  2  27000
420118  3  8000
420118  1  6500
420118  3  11000
420116  1  11500
420118  1  10000
420117  1  11000
420119  3  13000
420112  1  13500
420112  2  15000
420114  3  15500
420117  1  6250
420112  2  13800
420116  1  9455
420106  1  27000
420103  1  20000
420103  2  15000
420119  2  18000
420112  2  15500
420103  2  27000
420111  1  15500
420117  1  6720
420115  3  13500
420116  1  11450
420105  1  17200
420114  3  26000
420117  1  6400
420111  1  19500
420117  1  9300
420115  1  13310
420118  1  23500
420118  1  9500
420105  2  14000
420111  1  16171
420116  3  7800
420104  2  15000
420112  1  16000
420118  2  40000
420118  1  11000
420118  3  8500
420103  1  21800
420104  1  29000
420102  2  19000
420118  1  6000
420105  2  19000
420105  1  18080
420118  3  18000
420117  2  9800
420115  1  13300
420111  2  20000
420103  1  38000
420119  1  9319
420113  1  6600
420118  2  21000
420116  1  11800
420116  2  6480
420113  1  8900
420102  1  19632
420117  1  7300
420118  1  8000
420111  2  22000
420104  1  28000
420114  3  8700
420118  3  400
420116  1  10925
420113  1  7700
420105  2  12500
420114  3  32000
420105  1  19500
