420105  1  16800
420104  2  15000
420118  1  28000
420111  1  22000
420112  1  17158
420112  1  14160
420118  1  8500
420119  3  45000
420115  2  10800
420116  1  8352
420117  1  6600
420111  1  24500
420116  1  11152
420117  3  15000
420111  1  14243
420115  1  6500
420103  5  40000
420103  6  18000
420103  7  30000
420103  8  65000
420103  6  26000
420103  9  18000
420103  6  12500
420103  6  18500
420103  6  23000
420103  6  35000
420103  9  50000
420117  1  6510
420115  1  9252
420115  8  18000
420115  7  23000
420112  10  4500
420118  1  9500
420115  7  20000
420115  6  11000
420115  6  8200
420115  11  12698
420117  1  6864
420102  12  18500
420116  1  11185
420116  1  10227
420112  1  12300
420118  1  11500
420112  1  11660
420112  1  14166
420105  2  17000
420119  12  9500
420102  1  28982
420118  13  20520
420102  1  20000
420107  12  15000
420104  6  15000
420118  1  6900
420115  3  11000
420105  2  23000
420112  12  8800
